variable,coef,std_err,p_value
const,17.54296082176952,0.11036747770173891,0.0
Ranking Regional,-1.4795748903408301,0.1428107496316098,1.0532597649593022e-24
Largo_km_log1p,0.9388550553752629,0.1328342723963446,1.98249210089173e-12
duracion_min,-1.0841634417372648,0.0905666128014173,3.100330235346131e-32
hora_central,0.22312572922675042,0.07859019525111019,0.004556982063085121
Comuna_La Pintana,1.5853216578395055,0.7174382104136522,0.027207561528053394
Comuna_Pudahuel,-2.212931220798731,0.4808283773216518,4.365748936480701e-06
Comuna_Recoleta,-0.9707571398864212,0.45525533879756447,0.033066896872074474
Comuna___RARE__,0.6497623133730182,0.3207789501867562,0.04290379424295076
Comuna_Ñuñoa,0.6497303429660759,0.3673631939784645,0.07706520631572841
peak_Valle,0.7473121177461974,0.15745924018236693,2.1792981052196253e-06
