variable,loading,abs_loading_rank
duracion_horas,0.5193068003025956,1
duracion_min,0.5193068003025955,2
Ranking Regional,-0.4868574927824867,3
Largo km,0.40945868605707536,4
Velocidad km/h,0.17560037408561138,5
hora_fin_num,0.14320929068425614,6
X,-0.05575502392206211,7
Y,-0.02861068588692578,8
hora_inicio_num,0.026128032764826996,9
Z,0.0,10
