variable,VIF
hora_central,50.360885314910824
hora_sin,37.488479675221775
hora_cos,4.716528969395293
Ranking Regional,3.73060204115168
Largo_km_log1p,3.2358487723803524
duracion_min,1.4861847213154966
Y,1.134021229794714
X,1.128538029969349
