index,split,X,Y,Ranking Regional,Largo_km_log1p,duracion_min,hora_central,hora_sin,hora_cos,Comuna_Cerrillos,Comuna_Colina,Comuna_Conchalí,Comuna_El Bosque,Comuna_Estación Central,Comuna_Huechuraba,Comuna_Independencia,Comuna_La Cisterna,Comuna_La Florida,Comuna_La Granja,Comuna_La Pintana,Comuna_La Reina,Comuna_Lampa,Comuna_Las Condes,Comuna_Lo Barnechea,Comuna_Macul,Comuna_Maipú,Comuna_Melipilla,Comuna_Paine,Comuna_Peñaflor,Comuna_Peñalolén,Comuna_Providencia,Comuna_Pudahuel,Comuna_Puente Alto,Comuna_Quilicura,Comuna_Quinta Normal,Comuna_Recoleta,Comuna_Renca,Comuna_San Bernardo,Comuna_San Miguel,Comuna_San Ramón,Comuna_Santiago,Comuna_Vitacura,Comuna___RARE__,Comuna_Ñuñoa,peak_Valle
920,train,0.02965837031640843,-0.7380686687363356,0.04577072686408164,-0.4262329452459863,-0.2579222909451228,1.1697106883366961,-1.0136753386093627,1.333312521079369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3136,train,0.8496181207692007,0.5856483011473247,1.5731461862450256,-0.8705610565095421,-0.5885003700984474,1.4013089748109988,-0.9158093739156973,1.9099120290711458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3135,train,0.652800654853976,0.46764053672056094,1.559928514000383,-0.8652135281685658,-0.5885003700984474,0.26261739964567693,-0.5803426374717682,-0.7945199554956437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
584,train,1.0733899789095993,1.0108090354144936,-0.8913622352810918,0.2505855849048927,0.24295358655991472,-1.281371176849675,1.3718562113768054,-0.21847719805828777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3348,train,-0.7885659161398969,-0.13228053948683344,-1.1579186255480547,1.3538405598310768,-0.3380624313459287,-0.13302967308125713,-0.07372166724100442,-1.2721626433301334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2916,train,0.8172259979073531,0.7426036406218647,-0.9835922149437103,1.146287741273755,-0.4182025717467347,0.7451138298004737,-0.966842916639889,0.23928607790601988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1893,train,0.6293920854238821,-0.5342320328525475,-0.8703608227146038,0.40590455055996333,-0.08762449259341008,-1.2427714624372912,1.3421017181972195,-0.30399484995004833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,train,-0.6084912448665553,1.616126970775373,0.9908342923560407,-0.8279051395539663,-0.4182025717467347,-1.4550698917054024,1.4788503995228865,0.19160364073835082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,train,-0.10178404434189123,1.746012920549164,-0.10358896950038184,-0.21510215590725504,-0.3380624313459287,0.0020693273620862986,-0.25959801201223337,-1.1553377530218045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1810,train,-5.135700699958062,-2.1056514873201935,1.6700757827057393,-0.9188904930664732,-0.5885003700984474,0.06961882758375781,-0.3482565863970297,-1.0782685345859369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
