modelo,RMSE,R2,MAE,Bias
baseline,4.432930176090961,-0.0008677215865517951,3.687786232869936,-0.13052471388050663
modelo1,4.082424004788518,0.15114967379187916,3.338688453207356,-0.17888756848827894
modelo2,4.089393630805845,0.14824883868287586,3.3316577897639137,-0.17401323927778298
